Yr,Pop,violent,murder,rape1,robbery,aggassault,propcrime,burg,larceny,mvtheft
1965,3462000,6916,11.4,10.6,28.7,149.1,1392.7,473.7,812.1,106.9
1965,253000,377,6.3,17.8,39.9,85,2454.5,554.5,1492.9,407.1
1965,1608000,3092,5,17.8,55.7,113.9,3355.5,816.5,2251.7,287.3
1965,1960000,2662,5.9,10.4,23.7,95.9,1138.4,323.7,727.2,87.5
1965,18602000,52490,4.7,21.2,113.3,142.9,4037.2,1209.6,2388,439.6
1965,1969000,3007,3.5,16.2,54.5,78.6,2551.8,650.9,1652.2,248.7
1965,2832000,1973,1.6,5.2,19.3,43.5,1764.8,563.5,983.8,217.4
1965,505000,561,5.7,6.5,56.6,42.2,2297.6,647.9,1398.4,251.3
1965,803000,5804,18.4,17.4,358.8,328.1,3497,1231.1,1566.1,699.8
1965,5805000,17386,8.9,13.3,88.6,188.6,3020.7,957,1855.9,207.8
1965,4357000,8777,11.3,13.4,29.8,147,1562.9,487.4,882,193.5
1965,711000,491,3.2,0.8,18.7,46.3,3183.3,980.9,1839.4,363
1965,692000,493,2,5.5,10.1,53.6,1911.3,358.8,1450.1,102.3
1965,10644000,34345,5.2,16,164.7,136.7,2223.2,550.2,1293.1,379.9
1965,4885000,6695,3.5,10.6,57.4,65.6,2033.4,556.4,1230.6,246.5
1965,2760000,1067,1.3,4.5,12.8,20.1,1358.9,304.3,950,104.7
1965,2234000,2392,2.7,9.1,24,71.2,1883.2,467.5,1293,122.7
1965,3179000,3463,5.3,6.6,36.7,60.4,1480.8,444.8,884.3,151.7
1965,3534000,7178,8.1,11.1,51.3,132.6,1568.1,452.3,913.3,202.5
1965,993000,437,2.1,4.3,4,33.5,1372.1,404.9,873.2,94
1965,3519000,10032,6.7,13.9,82.9,181.5,2474.3,638.6,1529.7,306
1965,5348000,5270,2.4,5.4,40,50.7,2022.9,554.5,934.9,533.5
1965,8218000,24459,4.6,24,132.1,137,3021.3,867.5,1830.3,323.6
1965,3554000,3074,1.4,5.2,40.3,39.5,1924.9,530.5,1192.8,201.6
1965,2321000,3949,8.9,6.9,14.4,139.9,807.1,285.5,444.2,77.3
1965,4497000,10588,6.7,18.1,93.3,117.4,2676.8,763,1651.7,262.1
1965,706000,514,1.7,7.8,15.9,47.5,2077.5,452.8,1426.6,198
1965,1477000,852,2.4,5.1,21.9,28.2,1774.1,384.8,1226.5,162.8
1965,440000,953,8.4,15.5,97.5,95.2,3537.5,878,2222.5,437
1965,669000,156,2.7,2.1,6.9,11.7,1028.4,316.4,624.2,87.7
1965,6774000,10422,3.2,8.9,55.4,86.3,1892.7,621.7,976.9,294.1
1965,1029000,2047,6.3,13.8,43.6,135.2,2660.7,735,1699.8,225.9
1965,18073000,58802,4.6,12.8,155.9,152,2740.3,1015,1401.8,323.4
1965,4914000,12755,8.3,9.1,23,219.1,1308.9,409.3,779.6,120
1965,652000,223,0.9,5.1,4.6,23.6,1032.1,206.7,748.5,76.8
1965,10245000,12788,3.6,8.9,51.6,60.7,1821.2,470.5,1160.8,189.9
1965,2482000,3339,4.4,11.1,38.6,80.5,1885.4,555.4,1137.3,192.7
1965,1899000,2290,3.4,11.9,46,59.3,2637.5,636.1,1798.9,202.5
1965,11520000,16384,3.6,10.3,52.7,75.7,1345.9,417.3,707.3,221.4
1965,920000,722,2.1,3.8,19,53.6,2172.1,596.3,1255.9,319.9
1965,2542000,4504,9.6,11.2,21.5,134.9,1681.8,526.1,1001.2,154.5
1965,703000,415,1.6,6.8,9.2,41.4,1216.6,264.3,878.7,73.7
1965,3845000,5333,8,11.1,28.6,91.1,1374.3,522.9,684.7,166.7
1965,10551000,21029,7.5,10.7,42.7,138.3,2384.6,678.9,1514.2,191.4
1965,990000,886,1.5,8.9,23.1,56,2824.1,606.9,2008.8,208.5
1965,397000,89,0.5,6.5,4.5,10.8,957.9,323.9,536,98
1965,4457000,10145,8.2,12,39.9,167.5,1971.6,548.7,1250.9,172.1
