"","HHINCOME","VALUEH","EMPSTAT","FTOTINC","INCWELFR","POVERTY","FAMSIZE","NCHILD","MARST-MAR","MARST-SING","MARST-DIV","HIGRADE","EDUC-ELEM","EDUC-SOMEHS","EDUC-SOMECOL","EDUC-COL","EDUC-GRAD","SCHLTYPE-PUB","LANGUAGE","MIGRATE5","VETSTAT","VETWWII","VETWWI"
"AL",0,0.776859504132231,85.1239669421488,8095.86776859504,18.595041322314,8.26446280991736,443.636363636364,111.818181818182,52.7272727272727,35.4545454545455,3.63636363636364,8.18181818181818,45.4545454545455,20.9090909090909,20.9090909090909,1.81818181818182,1.81818181818182,1.81818181818182,0,50,21.8181818181818,19.0909090909091,19.0909090909091
"AK",0,1,50,8310,0,10,476.923076923077,130.769230769231,53.8461538461538,38.4615384615385,0,15.3846153846154,38.4615384615385,0,38.4615384615385,0,0,0,0,30.7692307692308,0,0,0
"AZ",0,0.793650793650794,90.4761904761905,11324.6031746032,0,14.2857142857143,458.974358974359,69.2307692307692,41.025641025641,53.8461538461538,1.28205128205128,12.8205128205128,32.0512820512821,23.0769230769231,33.3333333333333,1.28205128205128,1.28205128205128,1.28205128205128,0,48.7179487179487,20.5128205128205,20.5128205128205,20.5128205128205
"AR",0,0.7,62.8571428571429,7293.57142857143,0,2.85714285714286,366.666666666667,97.1014492753623,46.3768115942029,40.5797101449275,0,14.4927536231884,43.4782608695652,17.3913043478261,23.1884057971014,1.44927536231884,1.44927536231884,1.44927536231884,0,34.7826086956522,13.0434782608696,11.5942028985507,11.5942028985507
"CA",0,0.918444165621079,98.2434127979925,11040.338770389,42.4717691342534,17.0639899623588,384.450063211125,79.519595448799,45.6384323640961,46.7762326169406,1.51706700379267,20.1011378002528,31.2262958280657,16.9405815423515,33.6283185840708,3.79266750948167,3.79266750948167,3.79266750948167,0,43.236409608091,18.3312262958281,17.1934260429836,17.1934260429836
"CO",0,0.691358024691358,103.703703703704,9684.56790123457,20.3703703703704,8.64197530864197,353.75,76.25,35,48.75,3.75,16.25,36.25,13.75,36.25,7.5,7.5,7.5,0,51.25,25,22.5,22.5
"CT",0,0.952702702702703,98.6486486486486,13805.0675675676,4.39189189189189,22.2972972972973,387.5,75,45,45.8333333333333,3.33333333333333,12.5,43.3333333333333,17.5,25,5,5,5,0,43.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333
"DE",0,0.928571428571429,128.571428571429,11642.8571428571,139.285714285714,14.2857142857143,418.181818181818,27.2727272727273,27.2727272727273,72.7272727272727,0,36.3636363636364,18.1818181818182,9.09090909090909,36.3636363636364,9.09090909090909,9.09090909090909,9.09090909090909,0,45.4545454545455,18.1818181818182,9.09090909090909,9.09090909090909
"DC",0,0.928571428571429,60.7142857142857,9619.64285714286,0,3.57142857142857,263.157894736842,47.3684210526316,31.5789473684211,52.6315789473684,5.26315789473684,26.3157894736842,36.8421052631579,10.5263157894737,36.8421052631579,0,0,0,0,47.3684210526316,15.7894736842105,15.7894736842105,15.7894736842105
"FL",0,0.71841155234657,120.938628158845,9979.06137184116,12.6353790613718,15.1624548736462,375.182481751825,56.9343065693431,40.8759124087591,49.6350364963504,2.91970802919708,12.043795620438,37.2262773722628,20.8029197080292,28.4671532846715,3.28467153284672,3.28467153284672,3.28467153284672,0,41.2408759124088,15.6934306569343,14.963503649635,14.963503649635
