"","Yr","Pop","violent","murder","rape1","robbery","aggassault","propcrime","burg","larceny","mvtheft","ST","PopTotal_1970","Pop_Un18_1970","Pop_20to40_1970","Pop_40to60_1970","Pop_60Ov_1970","PopTotal_1975","Pop_Un18_1975","Pop_20to40_1975","Pop_40to60_1975","Pop_60Ov_1975","PopTotal_1980","Pop_Un18_1980","Pop_20to40_1980","Pop_40to60_1980","Pop_60Ov_1980","PopTotal_1985","Pop_Un18_1985","Pop_20to40_1985","Pop_40to60_1985","Pop_60Ov_1985","PopTotal_1990","Pop_Un18_1990","Pop_20to40_1990","Pop_40to60_1990","Pop_60Ov_1990","PopTotal_1995","Pop_Un18_1995","Pop_20to40_1995","Pop_40to60_1995","Pop_60Ov_1995"
"261",1970,3444165,10185,11.7,18.5,50.3,215.2,2183.8,776.4,1184,223.5,"AL",3454557,39.5117232108198,25.3070943683951,21.4122968589026,13.7688855618825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",1970,302173,840,12.2,26.1,71.8,167.8,3523.8,789.9,2182.5,551.3,"AK",305328,42.9433265209873,35.5679793533511,17.4887334276581,3.99996069800346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263",1970,1772482,6564,9.5,27,120.2,213.7,5543.9,1493,3549.7,501.2,"AZ",1799531,39.9405178349248,26.1224174521028,20.7405151675631,13.1965495454093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264",1970,1923295,4276,10.1,17.1,45.6,149.5,2198.8,759.4,1320,119.4,"AR",1932816,37.5869198102665,23.6985827931888,21.3349330717461,17.3795643247986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",1970,19953134,94741,6.9,35.1,206.9,225.9,5864.3,1753,3422.1,689.2,"CA",20045806,36.7352053591659,28.0248496867624,22.3862487744319,12.8536961796398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266",1970,2207259,7874,6.2,36,129.1,185.4,4961.4,1380.9,2992.1,588.4,"CO",2228340,38.9338700557366,28.4183742157839,20.6064155380238,12.0413401904557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",1970,3032217,5167,3.5,9.1,70.4,87.4,3319,1084.2,1750.7,484.2,"CT",3038035,36.8276863169779,25.5315030932823,23.9734894430117,13.6673211467281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",1970,548104,1795,7.7,18.6,105.5,195.8,3935.6,1056.2,2320.4,559,"DE",551509,39.4845777675432,26.785238318867,22.1102466142892,11.6199372993006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269",1970,756510,16846,29.2,95.2,1561.9,540.5,8656.6,2873.7,4314.3,1468.6,"DC",755466,33.5011767571274,31.0786984457275,21.7328112714536,13.6873135256914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270",1970,6789443,33824,12.7,22.2,186.1,277.2,4819,1561.8,2860.6,396.6,"FL",6865460,34.1792392643756,23.8709715008171,22.0792925747146,19.8704966600927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
