"Yr","Pop","violent","murder","rape1","robbery","aggassault","propcrime","burg","larceny","mvtheft","ST","PopTotal_1970"
"261",1970,3444165,10185,11.7,18.5,50.3,215.2,2183.8,776.4,1184,223.5,"AL",3454557
"262",1970,302173,840,12.2,26.1,71.8,167.8,3523.8,789.9,2182.5,551.3,"AK",305328
"263",1970,1772482,6564,9.5,27,120.2,213.7,5543.9,1493,3549.7,501.2,"AZ",1799531
"264",1970,1923295,4276,10.1,17.1,45.6,149.5,2198.8,759.4,1320,119.4,"AR",1932816
"265",1970,19953134,94741,6.9,35.1,206.9,225.9,5864.3,1753,3422.1,689.2,"CA",20045806
"266",1970,2207259,7874,6.2,36,129.1,185.4,4961.4,1380.9,2992.1,588.4,"CO",2228340
"267",1970,3032217,5167,3.5,9.1,70.4,87.4,3319,1084.2,1750.7,484.2,"CT",3038035
"268",1970,548104,1795,7.7,18.6,105.5,195.8,3935.6,1056.2,2320.4,559,"DE",551509
"269",1970,756510,16846,29.2,95.2,1561.9,540.5,8656.6,2873.7,4314.3,1468.6,"DC",755466
"270",1970,6789443,33824,12.7,22.2,186.1,277.2,4819,1561.8,2860.6,396.6,"FL",6865460
"271",1970,4589575,13976,15.3,16.1,95.8,177.3,2577.1,899.9,1368.6,308.6,"GA",4611479
"272",1970,769913,938,3.6,11.8,63.3,43.1,5143.3,1456.1,3106.1,581.1,"HI",776177
"273",1970,713008,879,4.6,12.3,20.5,85.8,3031.5,673.6,2213.7,144.2,"ID",718147
"274",1970,11113976,52006,9.6,20.4,251.1,186.8,3311.6,765.4,2028.4,517.8,"IL",11129316
"275",1970,5193669,12184,4.9,19.9,110.3,99.6,3250.3,925.8,1874.2,450.3,"IN",5206262
"276",1970,2825041,2241,1.9,6.2,28.5,42.8,2425.8,507.3,1743.4,175,"IA",2830777
"277",1970,2249071,4561,4.8,14.5,75.1,108.5,3440.8,881.7,2302.5,256.6,"KS",2248359
"278",1970,3219311,7157,11.1,13.7,72.8,124.7,2261.8,703.9,1211.5,346.3,"KY",3236121
"279",1970,3643180,15063,11.7,23.1,140.8,237.8,2902.5,890,1627.7,384.7,"LA",3657391
"280",1970,993663,887,1.5,7,12.6,68.1,1970.7,638.5,1179.6,152.6,"ME",998135
"281",1970,3922399,24512,9.2,23.9,338.6,253.3,4016.1,1051.2,2417.3,547.6,"MD",3943493
"282",1970,5689170,11542,3.5,12,99.5,87.9,3543.4,1134.1,1531.2,878.1,"MA",5699034
"283",1970,8875083,51090,9.4,27.1,346.6,192.7,4931.8,1570.7,2897.1,464,"MI",8899844
"284",1970,3805069,5782,2,9.7,89.1,51.2,3048.9,801.7,1901.5,345.7,"MN",3815381
"285",1970,2216912,3974,11.5,8.9,19,139.8,1123.1,351.2,693.6,78.4,"MS",2226138
"286",1970,4677399,18986,10.7,27.4,200.8,167,3748.8,1137,2073.9,537.8,"MO",4686588
"287",1970,694409,774,3.2,10.5,22.3,75.5,2771.4,593.7,1955.9,221.8,"MT",697665
"288",1970,1483791,2731,3,9.3,57.3,114.5,2368.9,504.5,1572.5,291.9,"NE",1489064
"289",1970,488738,1948,8.8,19.6,188.4,181.7,5365.2,1660.6,3044,660.7,"NV",494996
"290",1970,737681,413,2,6,12.1,35.9,1666.2,565.6,928.6,172,"NH",742566
"291",1970,7168164,20583,5.7,12.9,169.4,99,3288.2,1041.4,1689.4,557.4,"NJ",7193210
"292",1970,1016000,3093,9.6,22.3,67.6,204.8,4131.6,1196.5,2532.4,402.8,"NM",1024290
"293",1970,18190740,124613,7.9,15.8,446.1,215.2,4286.3,1470.4,2125,690.9,"NY",18266034
"294",1970,5082059,18814,11.7,12.9,52.3,293.2,2272.5,765.8,1338.9,167.8,"NC",5107138
"295",1970,617761,211,0.5,6.2,6.5,21,1672.3,286.4,1295,91,"ND",619616
"296",1970,10652017,30279,6.6,16,145.9,115.9,3290.1,853.9,1943.5,492.8,"OH",10672784
"297",1970,2559253,5194,5.9,15.6,54.7,126.7,2774.4,835.4,1659.6,279.3,"OK",2570926
"298",1970,2091385,5373,4.6,18,102.5,131.7,4431.3,1273.4,2825,332.8,"OR",2103151
"299",1970,11793909,25970,5.4,11.9,108.6,94.2,1965.6,599.7,1020.7,345.2,"PA",11817397
"300",1970,949723,1944,3.2,3.6,78.3,119.6,4064.1,1018.9,2186.2,859,"RI",952555
"301",1970,2590516,7412,14.6,18,60.1,193.4,2772,1019.4,1495.5,257.1,"SC",2604662
"302",1970,666257,616,3.8,11.1,17.1,60.5,1961.1,471.3,1396.2,93.7,"SD",667299
"303",1970,3924164,10787,8.8,15.5,82,168.6,2120.7,806.7,1024.7,289.3,"TN",3942583
"304",1970,11196000,40897,11.6,20.8,136.5,196.4,3808.1,1159.9,2242.7,405.4,"TX",11260221
"305",1970,1059273,1459,3.4,10.9,53.1,70.3,4063.9,915,2832.7,316.3,"UT",1067600
