"","cart","knn","svm","rf","Resample"
"1",11578.5490196078,19477.9729719915,16476.0218616306,14169.0296352941,"Resample01"
"2",7424.35263157895,14239.931718577,10483.9149463757,8963.84158,"Resample02"
"3",14309.0910364146,16450.8340850855,11352.2251005628,27930.8037648148,"Resample03"
"4",16897.148185941,18207.7160421318,10284.1283623565,14326.5802901961,"Resample04"
"5",20107.6960784314,29669.0659493065,13968.7292505506,19414.6053411765,"Resample05"
"6",20960.075,23388.0178068344,14810.4612375173,11397.6963764706,"Resample06"
"7",26825.7994987469,19705.760733174,13263.2196186765,18577.5006240741,"Resample07"
"8",16608.8345238095,22806.364808249,11777.148640231,22126.436525,"Resample08"
"9",17680.1196078431,30721.9532839305,11214.833555764,19459.3977533333,"Resample09"
"10",14897.6803921569,14336.9026148958,14762.7811042707,9426.16033333334,"Resample10"
"11",12958.44375,33418.4901555825,12972.3089437503,12687.3346116667,"Resample11"
"12",20166.1992063492,12861.2662465061,12439.2553543282,14007.1713888889,"Resample12"
"13",8657.9880952381,40689.1165337136,11284.936454154,20538.91938,"Resample13"
"14",9114.10175438597,15287.5679386872,10671.4130123055,15494.7652565217,"Resample14"
"15",26095.6794486216,17555.6939628541,16666.6493122888,11188.8617947368,"Resample15"
"16",23298.5229166667,24842.9065607509,10988.442534585,9587.91246862745,"Resample16"
"17",21096.8483082707,18002.0506972934,10081.100576575,22044.8015421053,"Resample17"
"18",19362.6968671679,22091.7185253004,11806.3983452735,9881.20170476191,"Resample18"
"19",13781.7946778711,38943.7708956993,12494.5077197743,27713.4191754386,"Resample19"
"20",10227.5979949875,45679.0778033047,6942.30283332228,18686.0095333333,"Resample20"
"21",13411.1981481481,22320.9564301207,11008.3321783095,16064.0327866667,"Resample21"
"22",9176.83333333333,17739.1214710556,13676.0207221919,10536.4472888889,"Resample22"
"23",9509.02681704261,24992.3952701501,13217.2341851508,10065.5282235294,"Resample23"
"24",20931.1040935673,19322.3388912655,12041.4979832077,17837.5420037037,"Resample24"
"25",18695.425,24420.9829515211,12137.2370321553,21608.9255964912,"Resample25"
