"","HHINCOME","VALUEH","EMPSTAT","FTOTINC","INCWELFR","POVERTY","FAMSIZE","NCHILD","MARST-MAR","MARST-SING","MARST-DIV","HIGRADE","EDUC-ELEM","EDUC-SOMEHS","EDUC-SOMECOL","EDUC-COL","EDUC-GRAD","SCHLTYPE-PUB","LANGUAGE","MIGRATE5","VETSTAT","VETWWII","VETWWI","RACESING-WH","RACESING-BL","RACESING-IN","RACESING-AS","RACESING-OT","RACESING-HI"
"AL",0,0.904411764705882,106.25,30623.5183823529,168.044117647059,15.0735294117647,334.926470588235,56.9852941176471,46.3235294117647,38.2352941176471,8.82352941176471,0,20.2205882352941,15.0735294117647,47.0588235294118,4.41176470588235,4.41176470588235,4.41176470588235,0,91.5441176470588,76.8382352941177,5.14705882352941,0,74.2647058823529,24.2647058823529,0.735294117647059,0.735294117647059,0,0.367647058823529
"AK",0,0.964285714285714,85.7142857142857,51498.2857142857,135.142857142857,35.7142857142857,375,60.7142857142857,32.1428571428571,46.4285714285714,17.8571428571429,0,17.8571428571429,21.4285714285714,42.8571428571429,10.7142857142857,10.7142857142857,10.7142857142857,0,92.8571428571429,82.1428571428571,3.57142857142857,0,64.2857142857143,10.7142857142857,21.4285714285714,3.57142857142857,0,7.14285714285714
"AZ",0,0.948497854077253,83.6909871244635,34656.30472103,112.424892703863,13.3047210300429,354.077253218884,69.9570815450644,46.7811158798283,37.3390557939914,9.87124463519313,0,17.5965665236052,9.01287553648069,55.793991416309,6.00858369098712,6.00858369098712,6.00858369098712,0,92.274678111588,78.1115879828326,3.43347639484979,0,88.412017167382,4.72103004291846,5.5793991416309,1.28755364806867,0,12.8755364806867
"AR",0,0.890625,80.46875,25651.7734375,120.9375,7.8125,321.875,57.8125,47.65625,42.96875,3.90625,0,23.4375,13.28125,47.65625,6.25,6.25,6.25,0,93.75,73.4375,3.90625,0,86.71875,10.9375,1.5625,0.78125,0,0.78125
"CA",0,0.994568169473112,81.3145029875068,44821.1385116784,230.918522542097,28.5171102661597,354.046713742531,60.0760456273764,41.499185225421,44.9212384573601,6.73546985334058,0,20.8582292232482,10.1575230852797,41.933731667572,10.6463878326996,10.6463878326996,10.6463878326996,0,90.4942965779468,75.6110809342749,3.74796306355242,0,80.0651819663227,6.95274307441608,0.977729494839761,11.8957088538838,0.108636610537751,24.8234655078762
"CO",0,0.963730569948187,68.9119170984456,37997.8238341969,31.3471502590674,21.7616580310881,331.088082901554,46.1139896373057,40.4145077720207,49.2227979274611,6.73575129533679,0,24.8704663212435,10.3626943005181,41.4507772020725,10.880829015544,10.880829015544,10.880829015544,0,92.2279792746114,67.8756476683938,3.62694300518135,0,91.1917098445596,4.66321243523316,1.03626943005181,2.07253886010363,1.03626943005181,10.880829015544
"CT",0,1,90.4761904761905,52258.3333333333,169.555555555556,33.8624338624339,330.687830687831,62.962962962963,41.2698412698413,44.4444444444444,4.76190476190476,0,13.7566137566138,11.1111111111111,49.2063492063492,11.1111111111111,11.1111111111111,11.1111111111111,0,90.4761904761905,79.3650793650794,4.76190476190476,0,91.005291005291,8.46560846560847,0,0.529100529100529,0,6.87830687830688
"DE",0,1,113.513513513514,38731.4864864865,67.5675675675676,29.7297297297297,256.756756756757,29.7297297297297,29.7297297297297,45.945945945946,10.8108108108108,0,8.10810810810811,13.5135135135135,59.4594594594595,10.8108108108108,10.8108108108108,10.8108108108108,0,91.8918918918919,86.4864864864865,5.40540540540541,0,91.8918918918919,8.10810810810811,0,0,0,2.7027027027027
"DC",0,1,71.875,37675.9375,260.25,34.375,293.75,75,31.25,56.25,6.25,0,21.875,15.625,43.75,9.375,9.375,9.375,0,100,90.625,0,0,28.125,65.625,0,6.25,0,6.25
"FL",0,0.970091027308192,100.780234070221,38106.3576072822,78.556566970091,22.7568270481144,310.01300390117,51.1053315994798,47.7243172951886,36.1508452535761,7.67230169050715,0,18.3355006501951,11.963589076723,47.2041612483745,8.1924577373212,8.1924577373212,8.1924577373212,0,91.0273081924577,78.4135240572172,6.50195058517555,0,85.3055916775033,13.0039011703511,0.520156046814044,1.1703511053316,0,11.183355006502
