"","cart","knn","svm","rf","Resample"
"1",6268.73725490196,16961.8974954083,16476.0218616306,11778.4816616667,"Resample01"
"2",6173.05918367347,10112.1018400024,10483.9149463757,12045.0035604167,"Resample02"
"3",6253.08333333333,21866.6643283984,11352.2251005628,10012.3340698413,"Resample03"
"4",21210.1055555556,24125.2543627863,10284.1283623565,8424.50998333334,"Resample04"
"5",8655.92683295541,19462.2585173401,13968.7292505506,18899.1564052632,"Resample05"
"6",6684.6350877193,10668.5523449998,14810.4612375173,11477.7104166667,"Resample06"
"7",10589.4274509804,26352.5904732809,13263.2196186765,9835.73867936508,"Resample07"
"8",21521.5623809524,29141.8055640868,11777.148640231,18543.9642145833,"Resample08"
"9",11143.2518518519,17980.578852177,11214.833555764,6781.74779019608,"Resample09"
"10",8016.07560386473,30137.6785338487,14762.7811042707,14131.9515979167,"Resample10"
"11",10970.7549019608,14239.2407437615,12972.3089437503,14480.6792079365,"Resample11"
"12",7416.0880952381,9526.91112285948,12439.2553543282,10882.5906851852,"Resample12"
"13",12218.4613492063,13320.1438899302,11284.936454154,17248.7749063492,"Resample13"
"14",7855.90625,17221.1411189833,10671.4130123055,20852.2824352941,"Resample14"
"15",10410.7066666667,23870.4042318781,16666.6493122888,17489.6871166667,"Resample15"
"16",12622.4462184874,15591.0787253621,10988.442534585,6252.04703333333,"Resample16"
"17",12301.4543859649,18139.5776634563,10081.100576575,11246.0539018519,"Resample17"
"18",14585.6666666667,11249.5359602353,11806.3983452735,20708.6176912281,"Resample18"
"19",9503.38875,20319.0967885862,12494.5077197743,25672.7933814815,"Resample19"
"20",14318.8042063492,20518.9647363636,6942.30283332228,13066.6562982456,"Resample20"
"21",9283.19417989418,11650.1063736021,11008.3321783095,15279.8443982456,"Resample21"
"22",17533.9385964912,11040.9528314948,13676.0207221919,9485.13205294118,"Resample22"
"23",4895.31341991342,11300.6219466585,13217.2341851508,12137.9875313726,"Resample23"
"24",7662.41025641026,22377.4755880291,12041.4979832077,17006.3142912281,"Resample24"
"25",9064.43238095238,12369.728134044,12137.2370321553,6493.43457083333,"Resample25"
