SampleID	Vol	QDNA	Conc
NTC-PC04924-H-12	0	0	0
NTC-PC04925-H-12	0	0	0
NTC-PC07578-H-12	0	0	0
NTC-PC22190-F-12	0	0	0
NTC-PC22192-D-12	0	0	0
SC249358	26.8	670.4	25.01492537
SC249359-PC04924-B-01	0	0	0
SC249359-PC04925-A-01	0	0	0
SC249360-PC04924-C-01	39.9	998.2	25.01754386
SC249360-PC07578-B-09	28.2	703.9	24.96099291
SC249361-PC04924-D-01	0	0	0
SC249361-PC04925-B-01	0	0	0
SC249361-PC04925-A-10	0	0	0
SC249362-PC04924-E-01	42.2	1054.7	24.992891
SC249362-PC07578-H-08	27.6	689.1	24.9673913
SC249363	20.2	344.9	17.07425743
SC249364-PC04924-G-01	0	0	0
SC249364-PC04925-C-01	0	0	0
SC249364	0	0	0
SC249365-PC04924-H-01	36.3	906.5	24.97245179
SC249365-PC07578-E-09	21.9	532.8	24.32876712
SC249366-PC04925-D-01	0	0	0
SC249366-PC07578-D-01	0	0	0
SC249367	0	0	0
SC249368-PC04924-B-02	35.1	877.3	24.99430199
SC249368-PC07578-C-10	27.6	690.7	25.02536232
SC249369-PC04924-C-02	0	0	0
SC249369-PC04925-E-01	0	0	0
SC249369	0	0	0
SC249382-PC04924-D-02	37.3	931.7	24.97855228
SC249382-PC04925-F-01	0	0	0
SC249382	42.5	1062.5	25
SC249383	22.1	570.3	25.80542986
SC249384	0	0	0
SC249385-PC04924-G-02	46.8	1169.1	24.98076923
SC249385-PC07578-C-07	44.3	1106.4	24.9751693
SC249386	0	0	0
SC249387-PC04925-G-01	16.6	175.6	10.57831325
SC249387-PC07578-G-01	17.3	199.5	11.53179191
SC249388	28.3	708.3	25.02826855
SC249389	0	0	0
SC249390	32.5	812.9	25.01230769
SC249391-PC04924-D-03	39.2	981.3	25.03316327
SC249391-PC04925-H-01	37.4	935.1	25.0026738
SC249391	0	0	0
SC249392	0	0	0
SC249393	12.9	98.6	7.643410853
SC249394	15.9	156.6	9.849056604
SC249395	17.3	197.4	11.41040462
SC249396-PC04924-A-04	24	593.4	24.725
SC249396-PC04925-A-02	28.3	707	24.98233216
SC249397	7.6	41.7	5.486842105
SC249398	37.8	945.5	25.01322751
SC249399-PC04924-D-04	20.9	408.6	19.55023923
SC249399-PC04925-B-02	0	0	0
SC249400	19.7	311.1	15.79187817
SC249401	18	224.2	12.45555556
SC249403	0	0	0
SC249404	16.8	183.1	10.89880952
SC249405-PC04924-A-05	25.9	647.2	24.98841699
SC249405-PC04925-C-02	26.5	662.8	25.01132075
SC249406	0	0	0
SC249407	24.8	619.7	24.98790323
SC249408-PC04924-C-05	41	1024	24.97560976
SC249408-PC04925-E-02	42.5	1061.7	24.98117647
SC249408	39.9	997.7	25.00501253
SC249409	20.7	394.3	19.04830918
SC249410-PC04924-E-05	40.3	1008.4	25.02233251
SC249410-PC04925-F-02	41.2	1030.7	25.01699029
SC249410	24.9	622	24.97991968
SC249411-PC04924-F-05	26.1	652.2	24.98850575
SC249411-PC04925-G-02	29.3	732.3	24.99317406
SC249411	38	950.4	25.01052632
SC249412	32.6	814.2	24.97546012
SC249413	24	592.4	24.68333333
SC249414-PC04924-A-06	16.5	173.3	10.5030303
SC249414-PC04925-H-02	26.9	671.4	24.95910781
SC249414	36.2	905.2	25.00552486
SC249415	0	0	0
SC249416-PC04924-C-06	0	0	0
SC249416-PC04925-A-03	0	0	0
SC249417	19.5	299.4	15.35384615
SC249418-PC04924-E-06	12.8	97.3	7.6015625
SC249418-PC04925-B-03	21.3	452	21.22065728
SC249419-PC04924-F-06	18.2	233.6	12.83516484
SC249419-PC04925-C-03	21.6	493.6	22.85185185
SC249420-PC04924-G-06	17.2	194.1	11.28488372
SC249420-PC07578-H-07	25.8	645.7	25.02713178
SC249421-PC04924-H-06	21.5	479	22.27906977
SC249421-PC07578-F-02	49.5	1238.5	25.02020202
SC249422-PC04925-D-03	0	0	0
SC249422-PC07578-D-03	0	0	0
SC249423	0	0	0
SC249424-PC04924-B-07	16.7	179.5	10.74850299
SC249424-PC04925-E-03	15.5	148.6	9.587096774
SC249424	21.1	434.6	20.5971564
SC249425	20.8	403.9	19.41826923
SC249426-PC04924-D-07	30.4	758.8	24.96052632
SC249426-PC04925-F-03	43.5	1087.4	24.99770115
SC249426	34.7	867.2	24.99135447
SC249427	18.3	237	12.95081967
SC249428	25.4	636.1	25.04330709
SC249429-PC04924-G-07	17.2	196.1	11.40116279
SC249429-PC04925-G-03	23.9	577.8	24.17573222
SC249429	23.9	587.4	24.57740586
SC249430-PC04924-H-07	21.6	486.3	22.51388889
SC249430-PC04925-H-03	38.8	970.2	25.00515464
SC249430	44.8	1119.4	24.98660714
SC249431	0	0	0
SC249432-PC04924-A-08	38.5	963.1	25.01558442
SC249432-PC04925-B-04	41.3	1033.3	25.01937046
SC249433-PC04924-B-08	16.3	168.8	10.35582822
SC249433-PC04925-C-04	45.7	1143.6	25.02407002
SC249433	38.4	959.2	24.97916667
SC249434	15.6	150.9	9.673076923
SC249435-PC04924-D-08	21.2	447.8	21.12264151
SC249435-PC04925-D-04	21.7	505.5	23.29493088
SC249436-PC04924-E-08	19.2	283.5	14.765625
SC249436-PC04925-E-04	19.3	289.2	14.98445596
SC249436	33	825.1	25.0030303
SC249437-PC04924-F-08	19.7	315.2	16
SC249437-PC04925-F-04	46	1150.3	25.00652174
SC249437	48.5	1213.3	25.01649485
SC249438	0	0	0
SC249439-PC04924-H-08	14.8	131.9	8.912162162
SC249439-PC07578-G-07	33.6	839.1	24.97321429
SC249440-PC04924-A-09	35.1	876.6	24.97435897
SC249440-PC04925-G-04	42.1	1053.1	25.01425178
SC249441-PC04924-B-09	40.2	1005.8	25.0199005
SC249441-PC04925-H-04	43.4	1083.8	24.97235023
SC249441	49.8	1244.5	24.98995984
SC249442	32.1	801.9	24.98130841
SC249443-PC04924-D-09	21.6	486.6	22.52777778
SC249443-PC07578-E-05	24.6	615	25
SC249444	11.9	84.9	7.134453782
SC249445-PC04924-E-09	32	799.1	24.971875
SC249445-PC04925-B-05	21.6	490.7	22.71759259
SC249446	26.4	660.5	25.01893939
SC249447-PC04924-G-09	26.7	668.6	25.0411985
SC249447-PC04925-C-05	26	649.1	24.96538462
SC249448-PC04924-H-09	30.2	754.1	24.97019868
SC249448-PC04925-D-05	39.6	990.2	25.00505051
SC249448-PC04925-A-11	17.8	217.2	12.20224719
SC249448	34.4	859.7	24.99127907
SC249449-PC04924-A-10	19.6	307.4	15.68367347
SC249449-PC04925-E-05	44.2	1103.8	24.97285068
SC249450	0	0	0
SC249451-PC04924-C-10	15.8	155.3	9.829113924
SC249451-PC07578-F-06	26.6	664.4	24.97744361
SC249452	17.1	192.2	11.23976608
SC249453-PC04924-E-10	19.9	324.1	16.28643216
SC249453-PC04925-F-05	37.2	931.2	25.03225806
SC249453	47.8	1194.8	24.9958159
SC253181-PC04925-G-05	34.8	868.8	24.96551724
SC253181-PC07578-G-05	41.1	1026.8	24.98296837
SC253182-PC04925-H-05	29	723.7	24.95517241
SC253182-PC07578-A-01	21.9	540.4	24.67579909
SC253183-PC04925-A-06	20.4	365.7	17.92647059
SC253183-PC07578-D-08	30.5	762.4	24.99672131
SC253184-PC04925-B-06	42.8	1069.5	24.98831776
SC253184-PC07578-G-06	44.7	1117.6	25.00223714
SC253185	2.2	9.2	4.181818182
SC253186-PC04925-D-06	26.5	662.8	25.01132075
SC253186-PC07578-D-06	21.8	526.6	24.1559633
SC253188	32.8	820.1	25.00304878
SC253189	30.3	756.7	24.97359736
SC253190-PC04925-G-06	38.2	955.3	25.0078534
SC253190-PC04925-H-06	35.4	884.6	24.98870056
SC253190	0	0	0
SC253191	0	0	0
SC253192	5.3	25.8	4.867924528
SC253193	39.8	993.8	24.96984925
SC253194	13.4	106.2	7.925373134
