Sample ID	Source-PCR-Plate	Run-ID	Project-ID	CGR-Sample-ID	Sample-Type	Sample-Des	Subject-ID	Reciept	Ext-Company	Ext-Kit	Ext-Robotics	Homo-Status	Homo-Method	Homo-Holder	Auto-Status	input	filtered	denoised	merged	non-chimeric	D_0__Archaea	D_0__Bacteria	D_0__Eukaryota	Unassigned	frac_filtered	Mag-Col	IR
NTC-PC04925-H-12	PC04925	Run2	NP0084-MB4	NTC-PC04925-H-12	Seq_Control	Seq_Blank	NTC_Blank									17	13	13	13	13	0	13	0	0	23.52941176		
NTC-PC22190-F-12	PC22190	Run4	NP0084-MB6	NTC-PC22190-F-12	Seq_Control	Seq_Blank	NTC_Blank									38	21	21	8	8	0	8	0	0	78.94736842		
SC249360-PC04924-C-01	PC04924	Run1	NP0084-MB4	SC249360	Study	Robogut	DZ35298	sFEMB-001-R-002	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Standard	116484	87705	87705	83661	79923	0	79923	0	0	31.3871433	Magnetic	Tablet
SC249360-PC07578-B-09	PC07578	Run3	NP0084-MB5	SC249360	Study	Robogut	DZ35298	sFEMB-001-R-002	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Standard	159433	123092	123092	119347	113357	0	113357	0	0	28.89991407	Magnetic	Tablet
SC249361-PC04924-D-01	PC04924	Run1	NP0084-MB4	SC249361	Study	human_1	human_1	sFEMB-001-R-002	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Standard	60	38	38	23	23	0	23	0	0	61.66666667	Magnetic	Tablet
SC249362-PC04924-E-01	PC04924	Run1	NP0084-MB4	SC249362	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-002	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Standard	115886	80171	80171	73882	64375	0	64373	0	2	44.44971783	Magnetic	Tablet
SC249362-PC07578-H-08	PC07578	Run3	NP0084-MB5	SC249362	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-002	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Standard	136506	98717	98717	95481	87808	0	87774	22	12	35.67462236	Magnetic	Tablet
SC249363	PC04924	Run1	NP0084-MB4	SC249363	Ext_Control	art_col	DZ35322	sFEMB-001-R-002	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Standard	122059	80844	80844	74631	74225	0	74225	0	0	39.18924455	Magnetic	Tablet
SC249364	PC07578	Run3	NP0084-MB5	SC249364	Study	human_1	human_1	sFEMB-001-R-002	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Standard	18	13	13	10	10	0	10	0	0	44.44444444	Magnetic	Tablet
SC249364-PC04924-G-01	PC04924	Run1	NP0084-MB4	SC249364	Study	human_1	human_1	sFEMB-001-R-002	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Standard	51	38	38	14	14	0	14	0	0	72.54901961	Magnetic	Tablet
SC249365-PC04924-H-01	PC04924	Run1	NP0084-MB4	SC249365	Study	Robogut	DZ35298	sFEMB-001-R-002	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Standard	125858	95993	95993	91518	86712	0	86712	0	0	31.1033069	Magnetic	Tablet
SC249365-PC07578-E-09	PC07578	Run3	NP0084-MB5	SC249365	Study	Robogut	DZ35298	sFEMB-001-R-002	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Standard	165425	133263	133263	131776	128251	0	128251	0	0	22.47181502	Magnetic	Tablet
SC249366-PC04925-D-01	PC04925	Run2	NP0084-MB4	SC249366	Ext_Control	Ext_Blank	Water	sFEMB-001-R-002	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Standard	587	498	498	456	456	0	456	0	0	22.31686542	Magnetic	Tablet
SC249366-PC07578-D-01	PC07578	Run3	NP0084-MB5	SC249366	Ext_Control	Ext_Blank	Water	sFEMB-001-R-002	Qiagen	DSP Virus	QIASymphony	Standard	Vertical	Tubes	Standard	874	540	540	370	370	0	370	0	0	57.66590389	Magnetic	Tablet
