group	group.ref	tax	tax.ref	otu_file	tax_file	include
open	gg	blast	gg	4_tab_open_gg.qza	blast_gg_open_gg.qza	N
closed	gg	blast	gg	4_tab_closed_gg.qza	blast_gg_closed_gg.qza	Y
closed	gg	blast	silva	4_tab_closed_gg.qza	blast_silva_closed_gg.qza	N
open	gg	blast	silva	4_tab_open_gg.qza	blast_silva_open_gg.qza	N
closed	gg	scikit	gg	4_tab_closed_gg.qza	scikit_gg_closed_gg.qza	Y
open	gg	scikit	gg	4_tab_open_gg.qza	scikit_gg_open_gg.qza	N
closed	gg	scikit	silva	4_tab_closed_gg.qza	scikit_silva_closed_gg.qza	N
open	gg	scikit	silva	4_tab_open_gg.qza	scikit_silva_open_gg.qza	N
open	gg	vsearch	gg	4_tab_open_gg.qza	vsearch_gg_open_gg.qza	N
closed	gg	vsearch	gg	4_tab_closed_gg.qza	vsearch_gg_closed_gg.qza	Y
closed	gg	vsearch	silva	4_tab_closed_gg.qza	vsearch_silva_closed_gg.qza	N
open	gg	vsearch	silva	4_tab_open_gg.qza	vsearch_silva_open_gg.qza	N
dada		blast	gg	4_tab_dada.qza	blast_gg_dada.qza	Y
denovo		blast	gg	4_tab_denovo.qza	blast_gg_denovo.qza	N
denovo		blast	silva	4_tab_denovo.qza	blast_silva_denovo.qza	N
dada		blast	silva	4_tab_dada.qza	blast_silva_dada.qza	Y
denovo		scikit	gg	4_tab_denovo.qza	scikit_gg_denovo.qza	N
dada		scikit	gg	4_tab_dada.qza	scikit_gg_dada.qza	Y
dada		scikit	silva	4_tab_dada.qza	scikit_silva_dada.qza	Y
denovo		scikit	silva	4_tab_denovo.qza	scikit_silva_denovo.qza	N
dada		vsearch	gg	4_tab_dada.qza	vsearch_gg_dada.qza	Y
denovo		vsearch	silva	4_tab_denovo.qza	vsearch_silva_denovo.qza	N
denovo		vsearch	silva	4_tab_denovo.qza	vsearch_silva_denovo.qza	N
dada		vsearch	silva	4_tab_dada.qza	vsearch_silva_dada.qza	Y
closed	silva	blast	gg	4_tab_closed_silva.qza	blast_gg_closed_silva.qza	N
open	silva	blast	gg	4_tab_open_silva.qza	blast_gg_open_silva.qza	N
closed	silva	blast	silva	4_tab_closed_silva.qza	blast_silva_closed_silva.qza	Y
open	silva	blast	silva	4_tab_open_silva.qza	blast_silva_open_silva.qza	N
open	silva	scikit	gg	4_tab_open_silva.qza	scikit_gg_open_silva.qza	N
closed	silva	scikit	gg	4_tab_closed_silva.qza	scikit_gg_closed_silva.qza	N
open	silva	scikit	silva	4_tab_open_silva.qza	scikit_silva_open_silva.qza	N
closed	silva	scikit	silva	4_tab_closed_silva.qza	scikit_silva_closed_silva.qza	Y
closed	silva	vsearch	gg	4_tab_closed_silva.qza	vsearch_gg_closed_silva.qza	N
open	silva	vsearch	gg	4_tab_open_silva.qza	vsearch_gg_open_silva.qza	N
closed	silva	vsearch	silva	4_tab_closed_silva.qza	vsearch_silva_closed_silva.qza	Y
open	silva	vsearch	silva	4_tab_open_silva.qza	vsearch_silva_open_silva.qza	N
