SampleID	Source-PCR-Plate	Run-ID	Project-ID	CGR-Sample-ID	Sample-Type	Sample-Des	Subject-ID	Reciept	Ext-Company	Ext-Kit	Ext-Robotics	Homo-Status	Homo-Method	Homo-Holder	Mag-Col	IR
SC249383	PC04924	SQ-1	NP0084-MB4	SC249383	Ext_Control	art_col	M22	sFEMB-001-R-003	ZymoResearch	EX-7	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249388	PC04924	SQ-1	NP0084-MB4	SC249388	Ext_Control	art_col	M22	sFEMB-001-R-003	ZymoResearch	EX-7	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249387-PC04925-G-01	PC04925	SQ-2	NP0084-MB4	SC249387	Ext_Control	Ext_Blank	BW	sFEMB-001-R-003	ZymoResearch	EX-7	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249387-PC07578-G-01	PC07578	SQ-3	NP0084-MB5	SC249387	Ext_Control	Ext_Blank	BW	sFEMB-001-R-003	ZymoResearch	EX-7	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249393	PC04924	SQ-1	NP0084-MB4	SC249393	Ext_Control	Ext_Blank	BW	sFEMB-001-R-003	ZymoResearch	EX-7	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249384	PC04924	SQ-1	NP0084-MB4	SC249384	Study	H01	H01	sFEMB-001-R-003	ZymoResearch	EX-7	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249386	PC04924	SQ-1	NP0084-MB4	SC249386	Study	H01	H01	sFEMB-001-R-003	ZymoResearch	EX-7	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249389	PC04924	SQ-1	NP0084-MB4	SC249389	Study	H01	H01	sFEMB-001-R-003	ZymoResearch	EX-7	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249392	PC04924	SQ-1	NP0084-MB4	SC249392	Study	H01	H01	sFEMB-001-R-003	ZymoResearch	EX-7	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249382	PC07578	SQ-3	NP0084-MB5	SC249382	Study	Robogut	M98	sFEMB-001-R-003	ZymoResearch	EX-7	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249382-PC04924-D-02	PC04924	SQ-1	NP0084-MB4	SC249382	Study	Robogut	M98	sFEMB-001-R-003	ZymoResearch	EX-7	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249382-PC04925-F-01	PC04925	SQ-2	NP0084-MB4	SC249382	Study	Robogut	M98	sFEMB-001-R-003	ZymoResearch	EX-7	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249385-PC04924-G-02	PC04924	SQ-1	NP0084-MB4	SC249385	Study	Robogut	M98	sFEMB-001-R-003	ZymoResearch	EX-7	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249385-PC07578-C-07	PC07578	SQ-3	NP0084-MB5	SC249385	Study	Robogut	M98	sFEMB-001-R-003	ZymoResearch	EX-7	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249390	PC04924	SQ-1	NP0084-MB4	SC249390	Ext_Control	ZymoBiomics	Z00	sFEMB-001-R-003	ZymoResearch	EX-7	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249391	PC07578	SQ-3	NP0084-MB5	SC249391	Ext_Control	ZymoBiomics	Z00	sFEMB-001-R-003	ZymoResearch	EX-7	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249391-PC04924-D-03	PC04924	SQ-1	NP0084-MB4	SC249391	Ext_Control	ZymoBiomics	Z00	sFEMB-001-R-003	ZymoResearch	EX-7	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249391-PC04925-H-01	PC04925	SQ-2	NP0084-MB4	SC249391	Ext_Control	ZymoBiomics	Z00	sFEMB-001-R-003	ZymoResearch	EX-7	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC304093	PC07578	SQ-3	NP0084-MB5	SC304093	Ext_Control	art_col	M22	sFEMB-001-R-015	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304094	PC07578	SQ-3	NP0084-MB5	SC304094	Ext_Control	Ext_Blank	BW	sFEMB-001-R-015	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304099	PC07578	SQ-3	NP0084-MB5	SC304099	Ext_Control	Ext_Blank	BW	sFEMB-001-R-015	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304091	PC07578	SQ-3	NP0084-MB5	SC304091	Study	H01	H01	sFEMB-001-R-015	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304095	PC07578	SQ-3	NP0084-MB5	SC304095	Study	H01	H01	sFEMB-001-R-015	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304096	PC07578	SQ-3	NP0084-MB5	SC304096	Study	H01	H01	sFEMB-001-R-015	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304098	PC07578	SQ-3	NP0084-MB5	SC304098	Study	H01	H01	sFEMB-001-R-015	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304090	PC07578	SQ-3	NP0084-MB5	SC304090	Study	Robogut	M98	sFEMB-001-R-015	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304092	PC07578	SQ-3	NP0084-MB5	SC304092	Ext_Control	ZymoBiomics	Z00	sFEMB-001-R-015	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304097	PC07578	SQ-3	NP0084-MB5	SC304097	Ext_Control	ZymoBiomics	Z00	sFEMB-001-R-015	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304926	PC07578	SQ-3	NP0084-MB5	SC304926	Ext_Control	art_col	M22	sFEMB-001-R-016	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304928	PC07578	SQ-3	NP0084-MB5	SC304928	Ext_Control	Ext_Blank	BW	sFEMB-001-R-016	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304925-PC07578-B-08	PC07578	SQ-3	NP0084-MB5	SC304925	Study	H01	H01	sFEMB-001-R-016	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304925-PC07578-D-07	PC07578	SQ-3	NP0084-MB5	SC304925	Study	H01	H01	sFEMB-001-R-016	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304929	PC07578	SQ-3	NP0084-MB5	SC304929	Study	H01	H01	sFEMB-001-R-016	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304931	PC07578	SQ-3	NP0084-MB5	SC304931	Study	H01	H01	sFEMB-001-R-016	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304930	PC07578	SQ-3	NP0084-MB5	SC304930	Study	Robogut	M98	sFEMB-001-R-016	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304924-PC07578-A-11	PC07578	SQ-3	NP0084-MB5	SC304924	Ext_Control	ZymoBiomics	Z00	sFEMB-001-R-016	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304924-PC07578-B-07	PC07578	SQ-3	NP0084-MB5	SC304924	Ext_Control	ZymoBiomics	Z00	sFEMB-001-R-016	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304927	PC07578	SQ-3	NP0084-MB5	SC304927	Ext_Control	ZymoBiomics	Z00	sFEMB-001-R-016	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC553011	PC22192	SQ-4	NP0084-MB6	SC553011	Ext_Control	art_col	M16	sFEMB-001-R-041	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC553005	PC22190	SQ-4	NP0084-MB6	SC553005	Ext_Control	Ext_Blank	BW	sFEMB-001-R-041	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC553009	PC22192	SQ-4	NP0084-MB6	SC553009	Ext_Control	Ext_Blank	BW	sFEMB-001-R-041	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC553018	PC22190	SQ-4	NP0084-MB6	SC553018	Ext_Control	Ext_Blank	BW	sFEMB-001-R-041	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC553012	PC22190	SQ-4	NP0084-MB6	SC553012	Study	H01	H01	sFEMB-001-R-041	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC553014	PC22192	SQ-4	NP0084-MB6	SC553014	Study	H01	H01	sFEMB-001-R-041	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
