Sample ID	Source-PCR-Plate	Run-ID	Project-ID	CGR-Sample-ID	Sample-Type	Sample-Des	Subject-ID	Reciept	Ext-Company	Ext-Kit	Ext-Robotics	Homo-Status	Homo-Method	Homo-Holder	Mag-Col	IR
SC249383	PC04924_E_02	180112_M01354_0104_000000000-BFN3F	NP0084-MB4	SC249383	Ext_Control	art_col	DZ35322	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249388	PC04924_A_03	180112_M01354_0104_000000000-BFN3F	NP0084-MB4	SC249388	Ext_Control	art_col	DZ35322	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249387-PC04925-G-01	PC04925_G_01	180112_M03599_0134_000000000-BFD9Y	NP0084-MB4	SC249387	Ext_Control	Ext_Blank	Water	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249387-PC07578-G-01	PC07578_G_01	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC249387	Ext_Control	Ext_Blank	Water	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249393	PC04924_F_03	180112_M01354_0104_000000000-BFN3F	NP0084-MB4	SC249393	Ext_Control	Ext_Blank	Water	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249384	PC04924_F_02	180112_M01354_0104_000000000-BFN3F	NP0084-MB4	SC249384	Study	human_1	human_1	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249386	PC04924_H_02	180112_M01354_0104_000000000-BFN3F	NP0084-MB4	SC249386	Study	human_1	human_1	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249389	PC04924_B_03	180112_M01354_0104_000000000-BFN3F	NP0084-MB4	SC249389	Study	human_1	human_1	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249392	PC04924_E_03	180112_M01354_0104_000000000-BFN3F	NP0084-MB4	SC249392	Study	human_1	human_1	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249382	PC07578_H_05	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC249382	Study	Robogut	DZ35298	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249382-PC04924-D-02	PC04924_D_02	180112_M01354_0104_000000000-BFN3F	NP0084-MB4	SC249382	Study	Robogut	DZ35298	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249382-PC04925-F-01	PC04925_F_01	180112_M03599_0134_000000000-BFD9Y	NP0084-MB4	SC249382	Study	Robogut	DZ35298	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249385-PC04924-G-02	PC04924_G_02	180112_M01354_0104_000000000-BFN3F	NP0084-MB4	SC249385	Study	Robogut	DZ35298	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249385-PC07578-C-07	PC07578_C_07	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC249385	Study	Robogut	DZ35298	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249390	PC04924_C_03	180112_M01354_0104_000000000-BFN3F	NP0084-MB4	SC249390	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249391	PC07578_H_01	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC249391	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249391-PC04924-D-03	PC04924_D_03	180112_M01354_0104_000000000-BFN3F	NP0084-MB4	SC249391	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249391-PC04925-H-01	PC04925_H_01	180112_M03599_0134_000000000-BFD9Y	NP0084-MB4	SC249391	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Plate Adaptor	Plate	Magnetic	None
SC249397	PC04924_B_04	180112_M01354_0104_000000000-BFN3F	NP0084-MB4	SC249397	Ext_Control	art_col	DZ35322	sFEMB-001-R-004	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
SC249400	PC04924_E_04	180112_M01354_0104_000000000-BFN3F	NP0084-MB4	SC249400	Ext_Control	art_col	DZ35322	sFEMB-001-R-004	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
