Genus	DZ35322	DZ35316	MSA1000	MSA1001	MSA1002	MSA1003	D6300	D6305	D6306	D6310	D6311
Acinetobacter	0.0	0.0	0.0	0.0	0.05	0.0018	0.0	0.0	0.0	0.0	0.0
Actinomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Allistipes	0.036609131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Allobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerostipes	0.062639198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacillus	0.0	0.041791461	0.1	0.0448	0.05	0.018000000000000002	0.174	0.174	0.174	0.012	0.012
Bacteroides	0.062639198	0.0	0.0	0.0	0.05	0.0002	0.0	0.0	0.0	0.0	0.0
Barnesiella	0.0	0.06268719099999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium	0.062639198	0.06268719099999999	0.1	0.0004	0.05	0.0002	0.0	0.0	0.0	0.0	0.0
Bilophila	0.023524499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Campylobacter	0.0	0.031343595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Capnocytophaga	0.0	0.005223933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridium	0.0	0.0	0.1	0.0045	0.05	0.018000000000000002	0.0	0.0	0.0	0.0	0.0
Collinsella	0.062639198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Coprobacillus	0.036609131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cryptococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cutibacterium	0.0	0.0	0.0	0.0	0.05	0.0018	0.0	0.0	0.0	0.0	0.0
Deinococcus	0.0	0.0	0.1	0.0004	0.05	2e-05	0.0	0.0	0.0	0.0	0.0
Dialister	0.0	0.001044787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eggerthella	0.0	0.03663718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eikenella	0.0	0.041791461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus	0.062639198	0.0	0.1	0.0004	0.05	2e-05	0.099	0.099	0.099	6.7e-06	1.34e-05
Escherichia	0.062639198	0.0	0.1	0.0448	0.05	0.18	0.10099999999999999	0.10099999999999999	0.10099999999999999	0.0006900000000000001	0.0006900000000000001
Fusobacterium	0.125278396	0.06268719099999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gemella	0.0	0.052239325999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Granulicatella	0.0	0.06268719099999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Helicobacter	0.0	0.0	0.0	0.0	0.05	0.0018	0.0	0.0	0.0	0.0	0.0
Imtechella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Klebsiella	0.0	0.06268719099999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lachnoclostridium	0.062639198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lactobacillus	0.036609131	0.0	0.1	0.0045	0.05	0.0018	0.184	0.184	0.184	0.00011999999999999999	0.00011999999999999999
Leptotrichia	0.0	0.052239325999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Listeria	0.0	0.0	0.0	0.0	0.0	0.0	0.141	0.141	0.141	0.9590000000000001	0.9590000000000001
Mogibacterium	0.0	0.001044787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Neisseria	0.0	0.06268719099999999	0.0	0.0	0.05	0.0018	0.0	0.0	0.0	0.0	0.0
Paenibacillus	0.036609131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Parabacteroides	0.062639198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Parvimonas	0.0	0.031343595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pediococcus	0.041759465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Porphyromonas	0.0	0.0	0.0	0.0	0.05	0.18	0.0	0.0	0.0	0.0	0.0
Prevotella	0.0	0.06268719099999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Propionibacterium	0.062639198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pseudomonas	0.0	0.0	0.0	0.0	0.05	0.018000000000000002	0.042	0.042	0.042	0.027999999999999997	0.027999999999999997
Pyramidobacter	0.020879733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ralstonia	0.062639198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
