SampleID	Worm	RunID	Set	Triplicate	Cage	Timepoint	SampleType	Diet
Sample1	9	PGM073	1	A	2	Day5	Mealworm	Apple Slices
Sample2	10	PGM073	1	A	2	Day8	Mealworm	Apple Slices
Sample3	11	PGM073	1	A	2	Day12	Mealworm	Apple Slices
Sample4	12	PGM073	1	A	2	Day12	Feces	Apple Slices
Sample5	13	PGM073	1	A	2	Day12	Mealworm	Apple Slices
Sample6	1	PGM073	1	A	1	Baseline	Mealworm	Rice Bran
Sample7	2	PGM073	1	A	1	Baseline	Feces	Rice Bran
Sample8	3	PGM073	1	A	1	Day5	Mealworm	Rice Bran
Sample9	4	PGM073	1	A	1	Day8	Mealworm	Rice Bran
Sample10	5	PGM073	1	A	1	Day12	Mealworm	Rice Bran
Sample11	6	PGM073	1	A	1	Day12	Feces	Rice Bran
Sample12	14	PGM073	1	A	1	Baseline	Mealworm	Rice Bran
Sample13	7	PGM073	1	A	2	Baseline	Mealworm	Rice Bran
Sample14	8	PGM073	1	A	2	Baseline	Feces	Rice Bran
Sample15	9	PGM074	2	B	2	Day5	Mealworm	Apple Slices
Sample16	10	PGM074	2	B	2	Day8	Mealworm	Apple Slices
Sample17	11	PGM074	2	B	2	Day12	Mealworm	Apple Slices
Sample18	11	PGM074	2	D	2	Day12	Mealworm	Apple Slices
Sample19	12	PGM074	2	B	2	Day12	Feces	Apple Slices
Sample20	12	PGM074	2	D	2	Day12	Feces	Apple Slices
Sample21	13	PGM074	2	B	2	Day12	Mealworm	Apple Slices
Sample22	13	PGM074	2	D	2	Day12	Mealworm	Apple Slices
Sample23	9	PGM074	2	C	2	Day5	Mealworm	Apple Slices
Sample24	4	PGM074	2	C	1	Day8	Mealworm	Rice Bran
Sample25	1	PGM074	2	B	1	Baseline	Mealworm	Rice Bran
Sample26	5	PGM074	2	C	1	Day12	Mealworm	Rice Bran
Sample27	14	PGM074	2	B	1	Baseline	Mealworm	Rice Bran
Sample28	2	PGM074	2	B	1	Baseline	Feces	Rice Bran
Sample29	6	PGM074	2	C	1	Day12	Feces	Rice Bran
Sample30	3	PGM074	2	B	1	Day5	Mealworm	Rice Bran
Sample31	7	PGM074	2	C	2	Baseline	Mealworm	Rice Bran
Sample32	4	PGM074	2	B	1	Day8	Mealworm	Rice Bran
Sample33	8	PGM074	2	C	2	Baseline	Feces	Rice Bran
Sample34	5	PGM074	2	B	1	Day12	Mealworm	Rice Bran
Sample35	1	PGM074	2	C	1	Baseline	Mealworm	Rice Bran
Sample36	14	PGM074	2	D	1	Baseline	Mealworm	Rice Bran
Sample37	6	PGM074	2	B	1	Day12	Feces	Rice Bran
Sample38	2	PGM074	2	C	1	Baseline	Feces	Rice Bran
Sample39	7	PGM074	2	B	2	Baseline	Mealworm	Rice Bran
Sample40	3	PGM074	2	C	1	Day5	Mealworm	Rice Bran
Sample41	8	PGM074	2	B	2	Baseline	Feces	Rice Bran
