metadata	Inclusion	cat	response	answerkey
acid_reflux	N	otherdis	0.384270992	
acne_medication	N	N	0.967815509	
acne_medication_otc	N	N	0.967731036	
add_adhd	N	disease	0.702061159	"""I do not have this condition"" | ""Self-diagnosed"" | ""Diagnosed by a medical professional (doctor, physician assistant)"" | ""Diagnosed by an alternative medicine practitioner"""
age_cat	a	N		
age_corrected	N	des		0 - 101
age_years	N	N	0.961902348	
alcohol_consumption	c	drugs	0.977192093	"""true"" | ""false"""
alcohol_frequency	c	drugs	0.977192093	"""Never"" | ""Rarely (a few times/month)"" | ""Occasionally (1-2 times/week)"" | ""Regularly (3-5 times/week)"" | ""Daily"""
alcohol_types_beercider	c	drugs		"""true"" | ""false"""
alcohol_types_red_wine	c	drugs		"""true"" | ""false"""
alcohol_types_sour_beers	c	drugs		"""true"" | ""false"""
alcohol_types_spiritshard_alcohol	c	drugs		"""true"" | ""false"""
alcohol_types_unspecified	c	drugs		"""true"" | ""false"""
alcohol_types_white_wine	c	drugs		"""true"" | ""false"""
allergic_to_i_have_no_food_allergies_that_i_know_of	N	N		
allergic_to_other	N	N		
allergic_to_peanuts	N	N		
allergic_to_shellfish	N	N		
allergic_to_tree_nuts	N	N		
allergic_to_unspecified	N	N		
altitude	N	N		
alzheimers	b	disease	0.708312215	"""I do not have this condition"" | ""Self-diagnosed"" | ""Diagnosed by a medical professional (doctor, physician assistant)"" | ""Diagnosed by an alternative medicine practitioner"""
anonymized_name	N	N		
antibiotic_history	N	med	0.972208143	
appendix_removed	N	otherdis	0.96874472	
artificial_sweeteners	N	food	0.387312046	
asd	N	N	0.705271161	
assigned_from_geo	N	N		
autoimmune	N	otherdis	0.700878527	
birth_year	N	N	0.969082615	
bmi	N	N	0.966717351	
bmi_cat	a	N		
bmi_corrected	N	des		9.6 - 79
body_habitat	N	N		
body_product	a	des		"UBERON:feces | ""UBERON:saliva"" | ""UBERON:sebum"" | ""UBERON:mucus"" | ""UBERON:tears"" | ""UBERON:cerumen"""
body_site	n	des		"UBERON:feces | ""UBERON:tongue"" | ""UBERON:skin of head"" | ""UBERON:skin of hand"" | ""UBERON:nostril"" | ""UBERON:vaginal introitus"" | ""UBERON:hair"" | ""UBERON:eye"" | ""UBERON:external auditory meatus"" | ""UBERON:skin of trunk"" | ""UBERON:skin of leg"""
bowel_movement_frequency	N	random	0.669876668	
bowel_movement_quality	N	random	0.704088528	
breastmilk_formula_ensure	N	food	0.684828518	
cancer	N	otherdis	0.384355465	
cancer_treatment	N	otherdis	0.029143436	
cardiovascular_disease	N	otherdis	0.706115898	
cat	N	N	0.971194459	
cdiff	N	otherdis	0.696232472	
census_region	N	N		
chickenpox	N	N	0.968322352	
clinical_condition	N	otherdis	0.681196148	
collection_date	N	N		
collection_month	N	N		
collection_season	N	N		
collection_time	N	N		
collection_timestamp	N	N		
consume_animal_products_abx	N	food	0.710677479	
contraceptive	N	N	0.822858591	
cosmetics_frequency	N	N	0.970518669	
country	N	N	0.996029735	
country_of_birth	N	N	0.982176043	
country_residence	N	N	0.389846258	
csection	N	random	0.972377091	
deodorant_use	N	N	0.973475249	
depression_bipolar_schizophrenia	b	disease	0.29405305	"""I do not have this condition"" | ""Self-diagnosed"" | ""Diagnosed by a medical professional (doctor, physician assistant)"" | ""Diagnosed by an alternative medicine practitioner"""
depth	N	N		
description	N	N		
diabetes	N	otherdis	0.96147998	
diabetes_type	N	otherdis		
diet_type	N	food	0.973982092	
dna_extracted	N	des		
dog	N	N	0.974995776	
dominant_hand	N	N	0.967393141	
drinking_water_source	N	N	0.979134989	
drinks_per_session	c	drugs	0.188629836	"I don't drink | ""1"" | ""1-2"" | ""2-3"" | ""3-4"" | ""4+"""
economic_region	N	N		
elevation	N	N		
env_biome	N	N		
env_feature	N	N		
env_material	N	N		
env_package	N	N		
epilepsy_or_seizure_disorder	b	disease	0.70662274	"""I do not have this condition"" | ""Self-diagnosed"" | ""Diagnosed by a medical professional (doctor, physician assistant)"" | ""Diagnosed by an alternative medicine practitioner"""
exercise_frequency	N	random	0.972968407	
exercise_location	N	random	0.954891029	
fed_as_infant	N	food	0.710001689	
fermented_plant_frequency	N	food	0.696316945	
flossing_frequency	N	N	0.974151039	
flu_vaccine_date	N	N	0.96942051	
frozen_dessert_frequency	N	food	0.707889846	
fruit_frequency	N	food	0.706031424	
fungal_overgrowth	N	otherdis	0.690910627	
geo_loc_name	N	N		
gluten	N	food	0.894323365	
has_physical_specimen	N	N		
height_cm	N	N	0.972546038	
height_units	N	N		
high_fat_red_meat_frequency	N	food	0.702061159	
homecooked_meals_frequency	N	food	0.707383004	
host_common_name	N	N		
host_subject_id	N	N		
host_taxid	N	N		
ibd	b	disease	0.936729177	"""I do not have this condition"" | ""Self-diagnosed"" | ""Diagnosed by a medical professional (doctor, physician assistant)"" | ""Diagnosed by an alternative medicine practitioner"""
ibd_diagnosis	b	disease		"""Ulcerative colitis"" | ""Crohn's disease"""
